Objective,Strategy,V_Biomas,V_Chem
Biomas,"['FUM', 'MDH', 'RPE']",0.23880988617789115,0.24904050170176364
Chemical,"['FUM', 'MDH', 'RPE']",0.1207509166821725,8.767403599436816
