Model,Method,K,Strategy,Time,Chem_OverP,Biomas_P,vi_chem,vi_bioma,Time_Log
iJO1366,MILP,1,['FUM'],0.7619647979736328,0.2503720051389564,0.2400857703942733,,,-0.271854921247596
iJO1366,MILP,2,"['PFL', 'TKT2']",1.5661334991455078,1.4147968318936537,0.183109211168004,,,0.44860984243165763
iJO1366,MILP,3,"['PFK', 'PFL', 'TKT2']",5.538387298583984,1.4147936863085988,0.1831092111680018,,,1.7117033570423423
iJO1366,Callbacks,1,['FUM'],1.1570110321044922,0.2503713377855103,0.2400860513458492,0.0653589414563471,0.1971826245275,0.14583998326071534
iJO1366,Callbacks,2,"['PFL', 'TKT2']",10.786348342895508,1.4147942404213345,0.1831094250771974,0.0432952602747135,0.1306182881842544,2.378281292230316
iJO1366,Callbacks,3,"['FUM', 'MDH', 'RPE']",28.594575881958008,8.767624960040848,0.1207509166821725,0.1042651198025406,0.1514840667719175,3.3532170453621295
iJO1366,Looping,1,['MDH2'],109.86106872558594,0.0800491636942474,0.2415018333643443,16.888888888888914,0.0,4.69921655593548
iJO1366,Looping,2,"['PFL', 'TKT2']",602.656759262085,1.414794240421263,0.1831094250771964,16.88888888888889,0.0,6.4013478128713714
iJO1366,Looping,3,"['PFL', 'RPE', 'TALA']",25.294166564941406,1.2153855445890174,0.1846397392755375,16.888888888888914,0.0,3.2305737985923217
iAF1260,MILP,1,['RPI'],0.5030784606933594,8.630045800083408,0.1035191760681128,,,-0.6870091355729914
iAF1260,MILP,2,"['ACONTb', 'LDH_D']",0.1774673461914062,9.4089772233624,0.0940725191933409,,,-1.728968652109163
iAF1260,MILP,3,"['ALCD2x', 'LDH_D', 'PYK']",0.3070812225341797,9.408977221636183,0.0940725191933409,,,-1.1806429978717745
iAF1260,Callbacks,1,['CS'],0.0728664398193359,9.408977224499836,0.0940725191933409,9.408977196051866,0.0940725193963277,-2.619127105096517
iAF1260,Callbacks,2,"['ACONTa', 'GND']",0.0734462738037109,9.408977221288865,0.0940725191933409,9.408977210058444,0.0940725190715436,-2.61120110870819
iAF1260,Callbacks,3,"['ACONTa', 'GND', 'PYK']",0.1001453399658203,9.408977221288865,0.0940725191933409,9.408977211110717,0.0940725190715435,-2.3011327484988673
iAF1260,Looping,1,['MDH2'],130.17705154418945,0.0627909607276056,0.1881450384756997,16.888888888888914,0.0,4.868895458818685
iAF1260,Looping,2,"['ALCD2x', 'LDH_D']",574.6390628814697,9.238633586748902,0.0973151283530599,16.888888888888886,0.0,6.353742126972842
iAF1260,Looping,3,"['ALCD2x', 'LDH_D', 'TALA']",20.02061080932617,9.22578083367636,0.0964901566510504,16.888888888863022,0.0,2.996762283378007
iJR904,MILP,1,['PFL'],0.2648563385009765,0.8359621466766719,0.1883229874805749,,,-1.3285677188597158
iJR904,MILP,2,"['PFL', 'TKT2']",0.4248466491699219,1.4768600982062203,0.1843265939431379,,,-0.8560270006534348
iJR904,MILP,3,"['ACKr', 'PFL', 'TKT2']",0.9899730682373048,1.6792871013341073,0.183380758145298,,,-0.010077540024233762
iJR904,Callbacks,1,['CS'],0.0530910491943359,13.287435704172108,0.1081269593842358,0.0687313342404267,0.216253918768471,-2.9357469300213532
iJR904,Callbacks,2,"['PFL', 'SUCOAS']",0.5483169555664062,13.287435698449736,0.1081269593842358,0.2257359981575542,0.2153137367533883,-0.6009017731647922
iJR904,Callbacks,3,"['AKGDH', 'FRD2', 'LDH_D']",0.2677116394042969,13.287435698449736,0.1081269593842358,13.287293028973044,0.1081269595302672,-1.3178448501171387
iJR904,Looping,1,['MDH2'],66.56713485717773,0.0687313342404271,0.216253918768471,17.14285714288377,0.0,4.198210985136703
iJR904,Looping,2,"['PFL', 'TKT2']",465.9495048522949,1.4767629457198608,0.1843266890248921,17.142857142757357,0.0,6.144077269568357
iJR904,Looping,3,"['ACALD', 'PFL', 'RPE']",161.4965934753418,1.2443215769022762,0.1856348281631741,17.142857142857142,0.0,5.084484049408311
